scenario,outcome,year,p25,median,mean,p75,n
Accelerated burden divergence,Suicide,2022,-5.859876841395273,-1.9842655023146472,inf,0.3861094500637152,200
Accelerated burden divergence,Suicide,2023,-7.580278792563725,-2.70799162584765,inf,0.2882624149872337,200
Accelerated burden divergence,Suicide,2024,-9.332902527690207,-3.6381205339954814,inf,0.22452105378097387,200
Accelerated burden divergence,Suicide,2025,-11.07695509016251,-4.550273142331818,-5.0792930183714615,-0.17512663140165086,199
Accelerated burden divergence,Suicide,2026,-12.686235711371168,-5.560210000400034,-5.925158718356726,-0.39101320521159333,199
Accelerated burden divergence,Suicide,2027,-14.139965902875312,-6.405612565221153,-6.752984792021623,-0.7335031075763332,199
Accelerated burden divergence,Suicide,2028,-15.506884683532851,-7.214576733534106,-7.565538825886032,-0.9651039605762413,199
Accelerated burden divergence,Suicide,2029,-16.771973845951322,-7.941396243126386,-8.362401884377686,-1.2111936264855183,199
Accelerated burden divergence,Suicide,2030,-18.155754887608666,-8.704902319773499,-9.146261758093848,-1.344101763058353,199
Attenuated burden divergence,Anxiety,2019,0.0,0.0,0.0,0.0,200
Attenuated burden divergence,Anxiety,2020,0.044737292705099296,0.1488410809927121,0.1276174019934443,0.288933296191074,200
Attenuated burden divergence,Anxiety,2021,0.0735127992685547,0.29223558780014924,0.242739746013652,0.5971856665167474,200
Attenuated burden divergence,Anxiety,2022,0.09484275835930922,0.4293604007593821,0.3546799851009108,0.9025486671508542,200
Attenuated burden divergence,Anxiety,2023,0.13182282495631248,0.5564117892624232,0.4713168346882312,1.2404053370045187,200
Attenuated burden divergence,Anxiety,2024,0.12698201618767113,0.6704808908801319,0.5975378367758679,1.553940692687411,200
Attenuated burden divergence,Anxiety,2025,0.1575856568557965,0.76702003753778,0.7302326333026262,1.9486855254617907,200
Attenuated burden divergence,Anxiety,2026,0.17154732805438333,0.8420891692837773,0.8646839359949807,2.3054332923670207,200
Attenuated burden divergence,Anxiety,2027,0.1266863638519411,0.9273675573260975,0.9959190224299493,2.625581324723003,200
Attenuated burden divergence,Anxiety,2028,0.10461164085188712,1.0107873085556163,1.1205616513746692,2.940332627489756,200
Attenuated burden divergence,Anxiety,2029,0.00364058437832826,1.048629291818115,1.2373771796288202,3.2532950230836133,200
Attenuated burden divergence,Anxiety,2030,-0.06159656563392846,1.0585673443440413,1.3458433287472618,3.593132054493653,200
Attenuated burden divergence,Depression,2019,0.0,0.0,0.0,0.0,200
Attenuated burden divergence,Depression,2020,0.00947673821443118,0.1385694141685767,0.1943787473382505,0.30414479240038483,200
Attenuated burden divergence,Depression,2021,0.06671451202693857,0.35577399347132,0.3856238952090635,0.6105349892913947,200
Attenuated burden divergence,Depression,2022,0.16147509117940828,0.5538486653920205,0.5676432001385731,0.8860019018999854,200
Attenuated burden divergence,Depression,2023,0.2791366481645907,0.7683388828927606,0.7438390082693812,1.151818242739322,200
Attenuated burden divergence,Depression,2024,0.39549382824977664,0.9363310729796348,0.9368101012741765,1.4496065578996187,200
Attenuated burden divergence,Depression,2025,0.526260869461942,1.1519694740658282,1.1528969245477718,1.6924946995369616,200
Attenuated burden divergence,Depression,2026,0.6428840786740775,1.3344881621093263,1.3554960157267113,2.0599528906137032,200
Attenuated burden divergence,Depression,2027,0.7584960819943365,1.5920316328197126,1.5554630731002974,2.3781102030341006,200
Attenuated burden divergence,Depression,2028,0.7990109037093351,1.834951868099799,1.7631835940974028,2.744509024818853,200
Attenuated burden divergence,Depression,2029,0.9461843012542548,2.122575399899318,1.9747693862239368,3.0026047208011497,200
Attenuated burden divergence,Depression,2030,1.0167073099558943,2.351937596804621,2.1821802961845442,3.286978734912566,200
Attenuated burden divergence,Suicide,2019,0.0,0.0,0.0,0.0,199
Attenuated burden divergence,Suicide,2020,-0.42795187863047257,-0.06513273350630677,inf,0.18352212012637814,200
Attenuated burden divergence,Suicide,2021,-0.9302683836837827,-0.25271105572546304,inf,0.16820956584496227,200
Attenuated burden divergence,Suicide,2022,-1.2815582225250837,-0.4271856156757181,inf,0.08234769603135406,200
Attenuated burden divergence,Suicide,2023,-1.6697068702767188,-0.5846868066639921,inf,0.061502735974439116,200
Attenuated burden divergence,Suicide,2024,-2.071012284164481,-0.7884903616155126,inf,0.047903810731902974,200
Attenuated burden divergence,Suicide,2025,-2.4764576481073606,-0.9898138781195165,-1.286895532048888,-0.0374367374205431,199
Attenuated burden divergence,Suicide,2026,-2.8561617185846986,-1.2145199694042486,-1.5156130902139988,-0.08365023191277965,199
Attenuated burden divergence,Suicide,2027,-3.203917776682441,-1.4040756163602786,-1.7462476896002534,-0.15713508051832248,199
Attenuated burden divergence,Suicide,2028,-3.5351608376641197,-1.5867259454438676,-1.980451059441841,-0.20693433784887416,199
Attenuated burden divergence,Suicide,2029,-3.84550542495371,-1.751900556058672,-2.217253039480772,-0.25995221066288376,199
Attenuated burden divergence,Suicide,2030,-4.189265987665913,-1.9265206359831422,-2.4578267117354176,-0.28863830002311963,199
Trend continuation,Anxiety,2019,0.0,0.0,0.0,0.0,200
Trend continuation,Anxiety,2020,0.10347899368920443,0.3445099350686487,0.29843632578716756,0.669384080559049,200
Trend continuation,Anxiety,2021,0.17006985801877317,0.6770494107916525,0.573981579382113,1.3863211260962016,200
Trend continuation,Anxiety,2022,0.21944684602139275,0.995633079578595,0.8477189820451586,2.099386910293155,200
Trend continuation,Anxiety,2023,0.3050852185874253,1.2913230499633999,1.1358970393541457,2.8916358935541844,200
Trend continuation,Anxiety,2024,0.2938724634783896,1.5572170920693296,1.447108610976359,3.629964996613805,200
Trend continuation,Anxiety,2025,0.36477165556200175,1.782558063938311,1.7741174909236153,4.563791712509263,200
Trend continuation,Anxiety,2026,0.3971252912572887,1.9579803614952818,2.1072936141363527,5.411824375953378,200
Trend continuation,Anxiety,2027,0.2931879866096776,2.1574698952432803,2.4348764991729808,6.17617577886016,200
Trend continuation,Anxiety,2028,0.24206645322191744,2.352825743965792,2.7478599759005498,6.930683042616604,200
Trend continuation,Anxiety,2029,0.008418540751803372,2.441515613730161,3.0431171101992214,7.683925636690015,200
Trend continuation,Anxiety,2030,-0.14237568117149435,2.464807676494385,3.318828542867324,8.50522824991814,200
Trend continuation,Depression,2019,0.0,0.0,0.0,0.0,200
Trend continuation,Depression,2020,0.02191496588895281,0.3207133661897177,0.45541720685765985,0.7046954058105792,200
Trend continuation,Depression,2021,0.15433543509349446,0.8245980599405622,0.8987354015018721,1.4174344042550802,200
Trend continuation,Depression,2022,0.37378392446678066,1.2853529692286703,1.3219668462499492,2.060674736653106,200
Trend continuation,Depression,2023,0.6466466603343879,1.7856386479679132,1.7353734829581398,2.683569304811817,200
Trend continuation,Depression,2024,0.9168972792932328,2.178448870640437,2.1890244459372075,3.3839403915357167,200
Trend continuation,Depression,2025,1.221110224705435,2.6839244981835098,2.698275137739933,3.957192792127995,200
Trend continuation,Depression,2026,1.4928590786904006,3.112872197567873,3.1785242150021675,4.827870390051581,200
Trend continuation,Depression,2027,1.7626501024959218,3.719870207200393,3.6546124381328946,5.585067231111996,200
Trend continuation,Depression,2028,1.8572934636183147,4.294253759726907,4.1507348527374015,6.460900197662483,200
Trend continuation,Depression,2029,2.2015145251514436,4.976663362981338,4.657916592558516,7.080318628479038,200
Trend continuation,Depression,2030,2.36669149888985,5.522681308358579,5.157390626522656,7.76516135357409,200
Trend continuation,Suicide,2019,0.0,0.0,0.0,0.0,199
Trend continuation,Suicide,2020,-0.9867974080421615,-0.15054571705537811,inf,0.4248805791098542,200
Trend continuation,Suicide,2021,-2.1379940705869407,-0.583388294077436,inf,0.38938998775788214,200
Trend continuation,Suicide,2022,-2.9385329964006197,-0.9850377361142748,inf,0.19052043068309432,200
Trend continuation,Suicide,2023,-3.818730388310912,-1.3468207782916353,inf,0.14227401856297672,200
Trend continuation,Suicide,2024,-4.7239816422507515,-1.813825434163624,inf,0.11081507981042793,200
Trend continuation,Suicide,2025,-5.633640669939161,-2.27395287179466,-2.7949556198153367,-0.08654260375631218,199
Trend continuation,Suicide,2026,-6.481055007648839,-2.786050924216954,-3.2800485496850684,-0.1933220899872079,199
Trend continuation,Suicide,2027,-7.2533703929702815,-3.216855239699168,-3.764391172228714,-0.3629736657120186,199
Trend continuation,Suicide,2028,-7.985631506119351,-3.630938806895301,-4.2501330018007595,-0.4778552759407473,199
Trend continuation,Suicide,2029,-8.66870501101511,-4.0045360595710395,-4.735785129032493,-0.6000769742967094,199
Trend continuation,Suicide,2030,-9.421940645660209,-4.39860204348329,-5.222960365254579,-0.6661638859105201,199
